source_ip,user,event_type,timestamp,attempts_in_30s,unique_users_in_30s,invalid_user,success_after_fail,bruteforce
192.168.249.82,alice,success,2025-06-20 18:40:39.336945,2,2,0,1,0
192.168.42.150,charlie,success,2025-06-20 18:10:19.339146,1,1,0,1,0
10.0.65.36,test,success,2025-06-20 19:09:55.345358,11,4,1,1,1
192.168.179.120,alice,failed,2025-06-20 18:41:02.340700,2,1,0,0,0
192.168.46.246,admin,success,2025-06-20 18:49:59.338580,1,1,0,1,0
192.168.232.79,alice,success,2025-06-20 18:41:04.341087,3,1,1,1,0
192.168.133.119,alice,failed,2025-06-20 18:47:59.335728,2,1,0,0,0
10.0.91.92,guest,failed,2025-06-20 18:48:04.345611,8,3,1,0,1
10.0.157.203,user,failed,2025-06-20 18:28:21.345148,5,4,1,0,1
192.168.77.218,bob,success,2025-06-20 18:58:31.336921,2,1,0,1,0
10.0.101.186,test,failed,2025-06-20 18:18:46.344669,9,5,1,0,1
192.168.208.232,bob,success,2025-06-20 18:59:09.336708,1,1,0,1,0
192.168.178.146,alice,success,2025-06-20 18:29:05.341212,2,2,0,1,0
10.0.234.95,test,failed,2025-06-20 18:44:15.346387,8,2,1,0,1
10.0.5.156,root,failed,2025-06-20 18:22:01.343329,12,4,0,0,1
10.0.14.69,user,failed,2025-06-20 18:59:38.346123,11,5,1,0,1
10.0.110.226,guest,failed,2025-06-20 18:52:12.342960,14,2,1,0,1
192.168.221.167,bob,failed,2025-06-20 18:30:26.337642,2,2,0,0,0
10.0.224.108,guest,failed,2025-06-20 18:24:32.344802,11,2,1,0,1
192.168.143.239,charlie,success,2025-06-20 18:33:25.339765,3,2,0,1,0
10.0.197.97,admin,success,2025-06-20 18:39:16.345686,15,2,1,1,1
10.0.132.152,guest,failed,2025-06-20 18:56:15.342397,12,4,1,0,1
10.0.152.133,admin,failed,2025-06-20 18:16:44.347868,9,4,1,0,1
10.0.46.11,guest,failed,2025-06-20 18:28:04.347024,15,3,1,0,1
192.168.65.126,admin,success,2025-06-20 18:25:41.341693,2,1,0,1,0
10.0.51.176,test,failed,2025-06-20 18:36:45.345031,13,5,0,0,1
192.168.176.60,charlie,success,2025-06-20 19:03:42.335975,3,2,0,1,0
10.0.238.140,root,failed,2025-06-20 18:53:10.344884,11,2,1,0,1
10.0.161.24,admin,success,2025-06-20 18:24:39.344688,7,3,1,1,1
192.168.47.96,bob,success,2025-06-20 18:44:48.337785,1,1,0,1,0
10.0.184.31,user,failed,2025-06-20 18:14:33.344329,13,4,0,0,1
10.0.225.68,guest,failed,2025-06-20 19:06:33.342184,9,4,0,0,1
192.168.170.219,charlie,success,2025-06-20 19:08:56.340235,2,1,0,1,0
192.168.14.69,admin,failed,2025-06-20 18:55:55.337404,2,1,0,0,0
10.0.60.24,guest,success,2025-06-20 18:10:37.345699,8,4,1,1,1
192.168.52.1,charlie,success,2025-06-20 18:10:46.340431,3,1,0,1,0
192.168.237.236,admin,success,2025-06-20 18:47:02.337687,2,2,0,1,0
10.0.243.6,test,failed,2025-06-20 18:51:33.346857,14,2,1,0,1
192.168.229.193,alice,success,2025-06-20 19:03:04.335723,2,1,0,1,0
192.168.38.153,bob,success,2025-06-20 19:07:06.340902,1,1,0,1,0
10.0.213.139,user,failed,2025-06-20 18:45:38.344862,12,5,1,0,1
10.0.146.175,test,failed,2025-06-20 19:06:57.345283,8,5,1,0,1
10.0.76.25,admin,failed,2025-06-20 18:17:36.346095,15,5,1,0,1
10.0.230.231,user,success,2025-06-20 18:33:16.344807,15,4,1,1,1
10.0.21.215,user,failed,2025-06-20 18:17:52.346736,7,4,0,0,1
192.168.217.9,charlie,success,2025-06-20 18:11:18.338387,3,1,0,1,0
192.168.137.88,charlie,success,2025-06-20 18:56:04.337125,2,2,0,1,0
10.0.224.159,root,failed,2025-06-20 18:25:49.345837,12,3,1,0,1
10.0.26.78,test,failed,2025-06-20 18:40:49.345289,8,3,0,0,1
10.0.188.56,test,failed,2025-06-20 18:22:06.346318,15,3,1,0,1
192.168.20.76,alice,success,2025-06-20 18:44:35.336696,2,1,0,1,0
192.168.23.103,alice,success,2025-06-20 18:22:32.337219,3,2,0,1,0
10.0.190.210,user,failed,2025-06-20 18:11:23.347239,7,4,1,0,1
10.0.85.202,user,failed,2025-06-20 18:57:41.346942,8,4,1,0,1
192.168.239.206,charlie,failed,2025-06-20 18:23:13.339595,2,2,1,0,0
10.0.226.126,user,failed,2025-06-20 18:41:31.343262,11,3,1,0,1
10.0.28.37,test,failed,2025-06-20 18:27:49.344973,6,2,1,0,1
10.0.101.152,admin,failed,2025-06-20 18:26:54.347531,8,5,0,0,1
192.168.211.26,admin,success,2025-06-20 18:43:44.341254,3,2,0,1,0
192.168.111.35,charlie,success,2025-06-20 18:58:47.341726,1,1,0,1,0
192.168.43.95,bob,failed,2025-06-20 18:27:20.338076,2,2,0,0,0
10.0.197.169,test,success,2025-06-20 18:25:22.344180,11,2,0,1,1
192.168.15.20,admin,success,2025-06-20 18:34:44.336873,2,2,0,1,0
192.168.200.124,alice,success,2025-06-20 18:48:39.341030,1,1,0,1,0
192.168.243.145,bob,success,2025-06-20 19:00:10.339380,3,1,0,1,0
192.168.242.149,bob,success,2025-06-20 18:21:37.336973,3,1,0,1,0
192.168.81.246,admin,success,2025-06-20 18:21:26.339314,3,1,0,1,0
192.168.131.20,alice,success,2025-06-20 18:27:24.338823,3,2,0,1,0
192.168.183.167,charlie,success,2025-06-20 18:22:29.340333,2,1,0,1,0
10.0.59.110,user,failed,2025-06-20 18:19:59.344476,11,3,1,0,1
10.0.243.146,root,failed,2025-06-20 18:10:53.342110,9,3,1,0,1
10.0.187.224,user,failed,2025-06-20 18:39:37.346683,10,4,1,0,1
192.168.176.91,charlie,success,2025-06-20 18:52:36.340258,2,2,0,1,0
192.168.77.236,alice,success,2025-06-20 18:55:48.337779,2,1,0,1,0
10.0.31.223,admin,failed,2025-06-20 18:34:37.342483,13,2,1,0,1
192.168.42.219,bob,success,2025-06-20 18:44:24.341607,1,1,0,1,0
192.168.22.69,bob,success,2025-06-20 18:35:52.337590,3,2,0,1,0
10.0.50.23,guest,failed,2025-06-20 18:11:35.345592,7,5,0,0,1
10.0.63.119,root,failed,2025-06-20 18:10:24.346895,6,4,0,0,1
10.0.203.241,test,failed,2025-06-20 18:40:45.342079,13,3,0,0,1
10.0.162.171,admin,failed,2025-06-20 18:20:16.342523,9,4,0,0,1
192.168.234.187,alice,success,2025-06-20 18:15:52.338484,3,1,0,1,0
192.168.90.221,admin,success,2025-06-20 18:21:15.337858,1,1,0,1,0
10.0.153.71,guest,failed,2025-06-20 18:51:24.345230,11,3,1,0,1
192.168.145.243,bob,success,2025-06-20 19:07:03.338291,3,2,0,1,0
192.168.104.31,bob,success,2025-06-20 19:05:01.341071,2,1,0,1,0
10.0.244.209,test,failed,2025-06-20 19:05:02.343024,14,3,1,0,1
192.168.105.173,admin,success,2025-06-20 18:19:26.337676,2,1,0,1,0
10.0.234.149,guest,failed,2025-06-20 18:18:14.347294,11,2,1,0,1
10.0.147.52,guest,failed,2025-06-20 18:15:56.347176,11,3,0,0,1
192.168.103.68,alice,success,2025-06-20 18:37:08.340167,1,1,0,1,0
192.168.34.158,admin,success,2025-06-20 18:53:10.338734,1,1,0,1,0
192.168.18.79,charlie,success,2025-06-20 18:44:31.340536,3,1,0,1,0
10.0.202.9,admin,success,2025-06-20 18:20:25.343201,13,4,1,1,1
10.0.100.207,user,failed,2025-06-20 18:35:57.347805,6,5,1,0,1
10.0.44.41,root,failed,2025-06-20 18:10:57.347367,5,5,0,0,1
10.0.98.24,test,success,2025-06-20 18:34:00.346140,7,2,0,1,1
10.0.102.129,user,failed,2025-06-20 18:44:36.345216,6,2,1,0,1
10.0.76.215,admin,failed,2025-06-20 18:44:03.343846,13,5,1,0,1
192.168.145.15,admin,success,2025-06-20 18:55:51.337282,1,1,0,1,0
10.0.9.214,user,failed,2025-06-20 18:11:34.345950,9,5,0,0,1
192.168.175.245,alice,failed,2025-06-20 18:16:34.340930,2,2,0,0,0
10.0.205.76,root,failed,2025-06-20 18:40:55.345347,9,3,1,0,1
192.168.2.10,bob,success,2025-06-20 18:59:48.338740,2,2,0,1,0
192.168.186.213,charlie,success,2025-06-20 18:33:39.339616,1,1,0,1,0
10.0.230.32,test,failed,2025-06-20 18:26:04.343417,14,2,1,0,1
192.168.65.10,bob,success,2025-06-20 18:29:27.336836,2,2,0,1,0
192.168.83.30,admin,success,2025-06-20 19:08:58.336030,3,1,0,1,0
10.0.115.105,admin,success,2025-06-20 18:49:00.346129,8,4,1,1,1
192.168.114.74,bob,success,2025-06-20 19:04:56.341450,3,2,0,1,0
192.168.121.168,bob,failed,2025-06-20 18:34:54.339357,3,2,0,0,0
10.0.22.250,root,failed,2025-06-20 18:12:12.342938,12,2,1,0,1
192.168.191.56,alice,failed,2025-06-20 18:13:01.337288,2,1,0,0,0
192.168.228.195,admin,success,2025-06-20 19:09:29.336120,3,2,0,1,0
192.168.223.174,bob,success,2025-06-20 18:55:39.338890,1,1,0,1,0
10.0.230.135,guest,failed,2025-06-20 18:44:37.345991,9,5,1,0,1
192.168.155.51,bob,success,2025-06-20 18:30:00.339135,1,1,0,1,0
10.0.191.237,admin,failed,2025-06-20 18:18:56.345798,11,4,1,0,1
192.168.48.141,charlie,failed,2025-06-20 18:26:07.339719,1,1,0,0,0
192.168.210.98,charlie,success,2025-06-20 18:43:40.340766,1,1,0,1,0
192.168.62.45,alice,success,2025-06-20 18:20:37.335961,1,1,0,1,0
10.0.78.207,admin,failed,2025-06-20 18:25:55.342858,10,3,1,0,1
10.0.212.11,admin,failed,2025-06-20 18:47:20.347697,14,2,1,0,1
10.0.211.144,root,failed,2025-06-20 18:20:29.344752,15,2,0,0,1
10.0.240.66,guest,failed,2025-06-20 18:46:52.346310,11,4,1,0,1
10.0.84.172,user,failed,2025-06-20 18:43:01.343318,5,4,1,0,1
192.168.159.34,admin,failed,2025-06-20 18:20:27.336702,3,1,0,0,0
10.0.96.154,test,failed,2025-06-20 18:42:52.346554,11,5,0,0,1
10.0.207.191,guest,failed,2025-06-20 18:48:32.342599,9,2,1,0,1
192.168.247.156,bob,failed,2025-06-20 18:49:18.339771,1,1,0,0,0
10.0.166.83,user,failed,2025-06-20 19:01:21.347642,7,3,1,0,1
10.0.185.131,guest,failed,2025-06-20 18:37:38.346974,9,3,1,0,1
192.168.18.136,alice,success,2025-06-20 18:51:35.337968,2,1,0,1,0
10.0.38.97,user,failed,2025-06-20 18:56:19.343916,14,2,1,0,1
192.168.83.178,bob,success,2025-06-20 18:58:58.340402,3,1,0,1,0
10.0.202.112,user,failed,2025-06-20 18:11:42.344037,10,3,1,0,1
192.168.111.56,alice,success,2025-06-20 18:40:04.341000,3,2,0,1,0
10.0.73.37,root,failed,2025-06-20 18:32:13.345867,15,5,1,0,1
10.0.238.109,admin,failed,2025-06-20 18:26:28.343539,12,4,1,0,1
192.168.86.145,bob,success,2025-06-20 18:21:00.340419,3,2,1,1,0
10.0.159.58,admin,failed,2025-06-20 18:51:33.346851,11,5,1,0,1
10.0.98.168,root,failed,2025-06-20 18:33:02.343054,9,2,1,0,1
192.168.205.235,charlie,success,2025-06-20 18:14:27.340565,3,1,0,1,0
192.168.159.87,alice,success,2025-06-20 18:14:00.339972,1,1,0,1,0
10.0.126.49,user,failed,2025-06-20 18:12:46.347891,8,4,1,0,1
10.0.148.76,admin,failed,2025-06-20 18:32:22.345906,12,5,1,0,1
10.0.178.252,user,failed,2025-06-20 18:50:52.343007,6,4,1,0,1
10.0.116.164,test,failed,2025-06-20 18:16:17.343213,8,5,1,0,1
192.168.122.41,bob,success,2025-06-20 18:19:14.339258,2,2,0,1,0
192.168.96.204,charlie,success,2025-06-20 18:48:00.337059,3,1,0,1,0
10.0.105.135,test,success,2025-06-20 18:57:43.344262,5,3,1,1,1
192.168.47.208,bob,success,2025-06-20 18:14:14.336822,3,2,0,1,0
192.168.150.142,bob,failed,2025-06-20 18:39:16.335601,1,1,0,0,0
192.168.217.45,bob,failed,2025-06-20 18:26:04.338280,1,1,0,0,0
10.0.218.52,user,failed,2025-06-20 18:38:18.342506,15,4,1,0,1
192.168.190.29,bob,success,2025-06-20 18:50:19.340891,1,1,0,1,0
192.168.94.106,charlie,success,2025-06-20 18:20:33.339856,3,1,0,1,0
10.0.129.233,guest,success,2025-06-20 18:42:28.345259,14,4,0,1,1
10.0.192.19,test,failed,2025-06-20 19:02:51.347170,12,4,1,0,1
192.168.253.146,admin,success,2025-06-20 18:19:42.338717,1,1,0,1,0
192.168.103.107,alice,failed,2025-06-20 18:31:16.336376,2,1,0,0,0
192.168.73.83,admin,success,2025-06-20 18:53:41.340022,3,2,0,1,0
192.168.203.36,bob,success,2025-06-20 18:28:50.337985,3,2,0,1,0
192.168.21.84,charlie,success,2025-06-20 18:30:51.336859,2,1,0,1,0
10.0.22.37,root,failed,2025-06-20 18:28:37.344796,15,5,1,0,1
10.0.81.32,root,failed,2025-06-20 18:18:43.343979,14,3,1,0,1
10.0.182.169,user,failed,2025-06-20 18:40:55.342234,10,3,1,0,1
192.168.141.43,charlie,success,2025-06-20 18:45:57.335421,1,1,0,1,0
10.0.148.178,user,failed,2025-06-20 18:59:49.346549,5,5,0,0,1
192.168.158.146,charlie,failed,2025-06-20 18:37:39.335687,2,2,0,0,0
192.168.238.41,admin,success,2025-06-20 18:54:30.337173,3,1,1,1,0
192.168.128.192,admin,success,2025-06-20 18:21:55.336468,1,1,0,1,0
192.168.48.249,alice,success,2025-06-20 18:29:11.339904,1,1,1,1,0
10.0.176.246,test,failed,2025-06-20 18:44:13.346829,10,4,1,0,1
10.0.182.7,guest,failed,2025-06-20 18:52:56.342698,12,4,1,0,1
192.168.23.48,admin,success,2025-06-20 18:40:34.337602,2,2,0,1,0
192.168.78.53,bob,success,2025-06-20 19:00:59.337996,3,1,0,1,0
10.0.20.172,root,failed,2025-06-20 18:56:10.343334,9,2,1,0,1
192.168.39.224,bob,success,2025-06-20 18:45:28.341334,1,1,0,1,0
192.168.195.195,alice,success,2025-06-20 18:22:01.336529,1,1,0,1,0
192.168.158.223,bob,success,2025-06-20 19:00:36.339107,3,1,0,1,0
10.0.34.196,admin,failed,2025-06-20 18:44:23.342681,11,5,0,0,1
10.0.56.108,guest,failed,2025-06-20 18:28:58.346823,7,5,1,0,1
10.0.198.161,guest,failed,2025-06-20 18:42:05.347548,15,2,1,0,1
192.168.14.46,bob,success,2025-06-20 19:04:50.338101,1,1,0,1,0
192.168.81.31,bob,success,2025-06-20 18:23:00.335909,2,2,0,1,0
10.0.239.39,guest,success,2025-06-20 18:11:40.345878,14,2,1,1,1
192.168.207.16,charlie,failed,2025-06-20 18:46:16.337863,3,1,0,0,0
10.0.188.155,guest,success,2025-06-20 19:08:59.347570,9,3,1,1,1
192.168.99.21,charlie,success,2025-06-20 18:25:15.336759,2,1,0,1,0
10.0.158.81,root,failed,2025-06-20 18:33:38.346002,8,5,1,0,1
10.0.24.7,user,failed,2025-06-20 18:10:43.344945,13,3,0,0,1
10.0.207.4,admin,failed,2025-06-20 18:31:42.346655,15,2,1,0,1
192.168.228.146,admin,failed,2025-06-20 18:28:26.337541,1,1,0,0,0
10.0.164.246,test,failed,2025-06-20 19:05:22.342026,15,3,1,0,1
192.168.233.236,alice,success,2025-06-20 18:26:30.341082,1,1,0,1,0
10.0.142.70,guest,failed,2025-06-20 18:16:41.344064,13,4,0,0,1
192.168.92.157,alice,success,2025-06-20 19:08:49.338873,3,2,0,1,0
192.168.101.38,bob,success,2025-06-20 18:32:52.340162,3,1,0,1,0
10.0.72.109,admin,failed,2025-06-20 18:56:46.345198,14,3,0,0,1
192.168.177.30,admin,success,2025-06-20 18:40:15.338788,1,1,0,1,0
192.168.106.223,bob,success,2025-06-20 18:35:34.341189,1,1,0,1,0
10.0.141.183,test,failed,2025-06-20 19:09:48.344323,8,3,1,0,1
192.168.155.65,alice,success,2025-06-20 18:16:10.336001,1,1,0,1,0
192.168.103.152,admin,success,2025-06-20 18:26:13.340738,3,1,0,1,0
10.0.182.178,user,failed,2025-06-20 19:01:42.347565,15,5,1,0,1
192.168.97.161,bob,success,2025-06-20 18:48:54.340571,1,1,0,1,0
10.0.148.189,root,failed,2025-06-20 18:31:09.343829,10,3,0,0,1
10.0.74.68,root,failed,2025-06-20 18:30:13.341855,15,2,0,0,1
192.168.231.131,admin,success,2025-06-20 19:05:08.337276,3,1,0,1,0
10.0.198.225,guest,failed,2025-06-20 18:28:11.342466,9,4,0,0,1
192.168.44.228,admin,success,2025-06-20 18:20:55.338393,2,2,0,1,0
10.0.47.174,user,failed,2025-06-20 18:20:11.344509,7,3,1,0,1
10.0.132.28,guest,failed,2025-06-20 18:38:56.342317,14,2,1,0,1
192.168.100.169,charlie,success,2025-06-20 18:44:20.339035,3,1,0,1,0
192.168.220.75,bob,success,2025-06-20 18:41:39.339365,2,1,0,1,0
10.0.218.167,test,failed,2025-06-20 18:25:35.347320,10,4,0,0,1
10.0.17.223,user,failed,2025-06-20 18:14:42.343453,11,4,1,0,1
192.168.108.138,bob,failed,2025-06-20 18:43:15.335775,2,2,0,0,0
10.0.58.65,admin,failed,2025-06-20 18:59:46.347400,11,4,0,0,1
192.168.114.207,alice,failed,2025-06-20 18:13:23.335473,2,2,0,0,0
10.0.127.16,admin,success,2025-06-20 18:10:49.345176,15,3,1,1,1
10.0.209.141,test,failed,2025-06-20 18:40:52.342060,9,2,1,0,1
10.0.45.68,test,failed,2025-06-20 18:32:32.345325,15,5,0,0,1
192.168.170.98,alice,success,2025-06-20 19:02:38.337584,3,2,0,1,0
192.168.60.85,bob,failed,2025-06-20 19:03:46.336315,3,1,0,0,0
192.168.254.113,bob,success,2025-06-20 18:34:46.336646,1,1,1,1,0
10.0.12.251,admin,failed,2025-06-20 18:44:00.342179,13,5,1,0,1
10.0.87.234,admin,failed,2025-06-20 19:06:42.344147,12,5,1,0,1
10.0.253.130,user,failed,2025-06-20 18:46:28.347736,13,3,1,0,1
192.168.134.118,alice,failed,2025-06-20 19:03:37.338500,2,2,0,0,0
10.0.204.138,guest,failed,2025-06-20 18:13:03.345705,8,5,0,0,1
10.0.83.221,admin,failed,2025-06-20 19:04:14.347731,13,4,1,0,1
10.0.142.146,admin,failed,2025-06-20 18:38:04.347714,14,5,0,0,1
192.168.116.85,charlie,success,2025-06-20 18:57:16.339308,2,1,0,1,0
192.168.235.185,charlie,success,2025-06-20 18:28:27.338096,3,2,0,1,0
10.0.233.107,admin,failed,2025-06-20 18:10:13.344909,15,4,1,0,1
192.168.70.116,bob,success,2025-06-20 19:06:39.336745,3,1,0,1,0
10.0.124.211,admin,failed,2025-06-20 19:02:07.347526,6,2,0,0,1
10.0.219.19,admin,failed,2025-06-20 18:36:26.344758,6,4,1,0,1
192.168.152.42,bob,success,2025-06-20 18:52:54.339449,2,1,0,1,0
10.0.122.181,root,failed,2025-06-20 18:57:47.344244,9,3,1,0,1
10.0.78.214,guest,failed,2025-06-20 19:09:39.343777,13,2,1,0,1
192.168.30.99,bob,failed,2025-06-20 18:27:19.335661,3,2,0,0,0
192.168.67.99,bob,success,2025-06-20 18:40:25.337227,1,1,0,1,0
10.0.187.101,test,failed,2025-06-20 19:02:00.346207,9,3,1,0,1
192.168.200.134,admin,success,2025-06-20 18:52:43.335746,2,1,0,1,0
192.168.254.33,bob,success,2025-06-20 18:14:37.336309,3,1,0,1,0
10.0.187.186,test,failed,2025-06-20 18:43:28.343516,7,3,1,0,1
10.0.3.252,admin,failed,2025-06-20 18:34:21.345518,7,5,0,0,1
10.0.90.93,admin,success,2025-06-20 18:30:03.344568,12,3,0,1,1
10.0.74.20,guest,failed,2025-06-20 18:49:12.345635,10,2,0,0,1
192.168.158.236,bob,failed,2025-06-20 18:12:39.339188,3,2,0,0,0
192.168.56.194,alice,success,2025-06-20 18:19:29.337358,3,1,0,1,0
192.168.184.88,bob,success,2025-06-20 18:56:51.335570,1,1,0,1,0
10.0.51.113,root,failed,2025-06-20 18:12:35.346260,5,3,1,0,1
10.0.234.63,user,failed,2025-06-20 18:24:16.346931,7,4,1,0,1
192.168.188.227,alice,failed,2025-06-20 19:02:35.338062,2,1,0,0,0
192.168.245.202,charlie,success,2025-06-20 18:47:37.339123,3,1,0,1,0
192.168.16.53,admin,success,2025-06-20 18:36:31.335763,2,2,0,1,0
10.0.223.210,guest,failed,2025-06-20 18:37:37.347430,12,5,0,0,1
10.0.165.240,root,failed,2025-06-20 18:18:57.344445,5,2,0,0,1
192.168.24.185,alice,success,2025-06-20 18:22:12.340391,1,1,0,1,0
10.0.88.196,guest,failed,2025-06-20 18:27:52.347449,13,5,1,0,1
10.0.86.21,guest,failed,2025-06-20 19:05:04.342910,11,5,1,0,1
10.0.254.90,user,failed,2025-06-20 18:36:37.343881,13,5,1,0,1
192.168.82.148,bob,success,2025-06-20 18:40:01.341376,1,1,0,1,0
192.168.26.16,admin,failed,2025-06-20 18:59:38.335462,2,1,0,0,0
10.0.122.30,user,failed,2025-06-20 18:52:26.342409,6,4,0,0,1
10.0.85.237,root,failed,2025-06-20 18:26:01.345653,5,3,1,0,1
10.0.138.108,user,failed,2025-06-20 19:00:39.343239,11,5,1,0,1
192.168.4.136,bob,success,2025-06-20 18:58:47.341615,3,1,0,1,0
10.0.167.62,user,failed,2025-06-20 19:07:25.342370,8,2,1,0,1
192.168.216.215,charlie,success,2025-06-20 18:48:15.338631,1,1,0,1,0
10.0.53.89,test,failed,2025-06-20 18:58:07.345252,8,4,1,0,1
10.0.14.126,test,failed,2025-06-20 18:10:16.345353,5,3,1,0,1
10.0.107.196,root,failed,2025-06-20 19:01:13.346807,14,3,1,0,1
10.0.52.78,test,failed,2025-06-20 18:15:46.345388,15,3,1,0,1
192.168.225.35,charlie,success,2025-06-20 18:17:48.335564,3,2,0,1,0
10.0.209.48,user,failed,2025-06-20 18:29:13.346066,8,3,1,0,1
192.168.169.134,charlie,failed,2025-06-20 18:41:12.336346,1,1,0,0,0
192.168.93.20,alice,success,2025-06-20 18:14:08.337263,1,1,0,1,0
192.168.170.128,admin,success,2025-06-20 18:44:23.341710,1,1,0,1,0
192.168.124.89,admin,success,2025-06-20 18:20:04.338899,2,1,0,1,0
10.0.13.205,guest,failed,2025-06-20 18:34:41.347477,10,3,1,0,1
192.168.30.47,alice,success,2025-06-20 19:08:03.339291,1,1,0,1,0
10.0.128.130,admin,failed,2025-06-20 18:54:19.345669,7,4,0,0,1
192.168.153.137,alice,success,2025-06-20 18:22:39.340247,3,1,0,1,0
192.168.169.97,charlie,success,2025-06-20 18:17:01.338130,3,1,0,1,0
192.168.223.200,admin,success,2025-06-20 19:06:35.339129,1,1,0,1,0
10.0.38.200,test,failed,2025-06-20 18:18:16.345068,8,2,1,0,1
192.168.162.253,bob,success,2025-06-20 18:31:19.338723,2,1,0,1,0
192.168.164.3,bob,success,2025-06-20 18:15:34.337530,2,2,0,1,0
10.0.216.55,admin,failed,2025-06-20 18:53:11.346359,13,4,1,0,1
192.168.184.109,admin,success,2025-06-20 18:14:58.337681,3,2,0,1,0
192.168.56.194,alice,success,2025-06-20 18:33:29.336450,2,2,0,1,0
10.0.55.24,guest,failed,2025-06-20 18:47:36.342574,11,3,1,0,1
10.0.56.164,test,failed,2025-06-20 18:41:21.346464,14,2,0,0,1
10.0.183.205,root,failed,2025-06-20 19:03:47.344524,15,4,0,0,1
192.168.41.104,charlie,success,2025-06-20 18:57:03.337240,1,1,0,1,0
10.0.216.68,guest,failed,2025-06-20 18:31:51.347356,8,4,1,0,1
192.168.215.125,alice,success,2025-06-20 18:50:21.340755,3,1,0,1,0
192.168.172.23,alice,success,2025-06-20 19:06:57.338817,3,2,0,1,0
10.0.198.207,admin,failed,2025-06-20 18:17:07.345564,15,5,1,0,1
192.168.116.126,bob,success,2025-06-20 18:34:13.337576,2,1,0,1,0
10.0.36.229,user,failed,2025-06-20 18:18:21.347537,10,2,1,0,1
10.0.69.71,user,failed,2025-06-20 18:23:32.345019,8,2,0,0,1
192.168.93.181,charlie,success,2025-06-20 18:47:58.341638,2,1,0,1,0
192.168.190.96,bob,success,2025-06-20 18:47:54.336390,1,1,0,1,0
192.168.179.142,charlie,success,2025-06-20 18:55:01.338410,1,1,0,1,0
